y,x,ID
0,7,철원
0,8,화천
0,9,양구
0,10,고성(강원)
1,3,양주
1,4,동두천
1,5,연천
1,6,포천
1,7,의정부
1,8,인제
1,9,춘천
1,10,속초
2,3,고양 덕양
2,4,고양 일산동
2,5,서울 도봉
2,6,서울 노원
2,7,남양주
2,8,홍천
2,9,횡성
2,10,양양
3,2,파주
3,3,고양 일산서
3,4,김포
3,5,서울 강북
3,6,서울 성북
3,7,가평
3,8,구리
3,9,하남
3,10,정선
3,11,강릉
4,2,부천 소사
4,3,안양 만안
4,4,광명
4,5,서울 서대문
4,6,서울 종로
4,7,서울 동대문
4,8,서울 중랑
4,9,양평
4,10,태백
4,11,동해
5,1,인천 강화
5,2,부천 원미
5,3,안양 동안
5,4,서울 은평
5,5,서울 마포
5,6,서울 중구
5,7,서울 성동
5,8,서울 강동
5,9,여주
5,10,원주
5,11,삼척
6,1,인천 서구
6,2,부천 오정
6,3,시흥
6,4,서울 강서
6,5,서울 동작
6,6,서울 용산
6,7,서울 광진
6,8,서울 송파
6,9,이천
6,10,평창
6,11,울진
7,1,인천 동구
7,2,인천 계양
7,3,안산 상록
7,4,서울 양천
7,5,서울 관악
7,6,서울 서초
7,7,성남 중원
7,8,과천
7,9,광주
7,10,영월
7,11,영덕
8,2,인천 부평
8,3,안산 단원
8,4,서울 영등포
8,5,서울 금천
8,6,서울 강남
8,7,성남 분당
8,8,성남 수정
8,9,용인 수지
8,10,문경
8,11,봉화
8,13,울릉
9,1,인천 중구
9,2,인천 남구
9,3,화성
9,4,서울 구로
9,5,군포
9,6,의왕
9,7,수원 영통
9,8,용인 기흥
9,9,용인 처인
9,10,안동
9,11,영양
10,0,인천 옹진
10,1,인천 연수
10,2,인천 남동
10,3,오산
10,4,안성
10,5,수원 권선
10,6,수원 장안
10,7,제천
10,8,예천
10,9,영주
10,10,구미
10,11,청송
10,12,포항 북구
11,0,태안
11,1,아산
11,2,천안 동남
11,3,천안 서북
11,4,평택
11,5,음성
11,6,수원 팔달
11,7,단양
11,8,상주
11,9,김천
11,10,군위
11,11,의성
11,12,포항 남구
12,1,당진
12,2,홍성
12,3,예산
12,4,공주
12,5,진천
12,6,충주
12,7,청주 흥덕
12,8,괴산
12,9,칠곡
12,10,영천
12,11,경산
12,12,경주
13,1,서산
13,2,보령
13,3,청양
13,4,세종
13,5,대전 대덕
13,6,증평
13,7,청주 청원
13,8,보은
13,9,고령
13,10,청도
13,11,성주
13,12,울산 북구
14,2,부여
14,3,논산
14,4,계룡
14,5,대전 동구
14,6,청주 상당
14,7,청주 서원
14,8,대구 북구
14,9,대구 중구
14,10,대구 수성
14,11,울산 울주
14,12,울산 동구
15,2,서천
15,3,금산
15,4,대전 유성
15,5,대전 중구
15,6,옥천
15,7,영동
15,8,대구 서구
15,9,대구 남구
15,10,대구 동구
15,11,울산 중구
15,12,울산 남구
16,2,군산
16,3,익산
16,4,대전 서구
16,5,무주
16,6,거창
16,7,합천
16,8,대구 달서
16,9,대구 달성
16,10,부산 금정
16,11,부산 동래
16,12,부산 기장
17,2,부안
17,3,김제
17,4,완주
17,5,장수
17,6,함양
17,7,창녕
17,8,밀양
17,9,부산 북구
17,10,부산 부산진
17,11,부산 연제
17,12,부산 해운대
18,1,고창
18,2,정읍
18,3,전주 덕진
18,4,진안
18,5,남원
18,6,진주
18,7,의령
18,8,부산 강서
18,9,부산 사상
18,10,부산 동구
18,11,부산 중구
19,1,영광
19,2,장성
19,3,전주 완산
19,4,임실
19,5,산청
19,6,함안
19,7,양산
19,8,창원 합포
19,9,부산 서구
19,10,부산 사하
19,11,부산 남구
20,1,함평
20,2,담양
20,3,순창
20,4,구례
20,5,하동
20,6,창원 의창
20,7,창원 성산
20,8,창원 진해
20,9,김해
20,10,부산 영도
20,11,부산 수영
21,0,신안
21,1,무안
21,2,광주 광산
21,3,곡성
21,4,화순
21,5,광양
21,6,사천
21,7,창원 회원
21,8,통영
22,0,목포
22,1,나주
22,2,광주 서구
22,3,광주 북구
22,4,순천
22,5,고흥
22,6,남해
22,7,고성(경남)
22,8,거제
23,0,해남
23,1,영암
23,2,광주 남구
23,3,광주 동구
23,4,여수
24,0,진도
24,1,강진
24,2,장흥
24,3,보성
25,2,완도
25,5,제주
26,5,서귀포
